record_id,dataset,start_time,end_time,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,pred_token_count,ref_token_count,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_f1,token_precision,token_recall,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity
1,GSM8K,2025-10-21 02:03:08,2025-10-21 02:07:34,266.3551,0.0,0.0,0.0,,,64,47,0.608187134502924,0.33136094674556216,0.3625730994152046,0.20712637691648583,0.0,0.6306306306306305,0.546875,0.7446808510638298,35,0.29157667386609076,0.8974358974358975,0.9053559303283691,0.8277977705001831
2,GSM8K,2025-10-21 02:07:34,2025-10-21 02:10:19,164.6564,0.0,0.0,0.0,,,57,38,0.4444444444444445,0.1565217391304348,0.2564102564102564,4.128619106758587e-155,0.0,0.4421052631578947,0.3684210526315789,0.5526315789473685,21,0.2637362637362637,0.8611111111111112,0.8794868588447571,0.8255067467689514
3,GSM8K,2025-10-21 02:10:19,2025-10-21 02:14:14,234.7675,0.0,0.0,0.0,,,59,50,0.41860465116279066,0.21176470588235294,0.2790697674418605,0.10963755432758952,0.0,0.3669724770642202,0.3389830508474576,0.4,20,0.32447817836812143,0.7894736842105263,0.8586651086807251,0.8005514144897461
4,GSM8K,2025-10-21 02:14:14,2025-10-21 02:18:10,235.8285,0.0,0.0,0.0,,,53,40,0.4971098265895954,0.2573099415204679,0.34682080924855496,0.11507339994199622,0.0,0.49462365591397855,0.4339622641509434,0.575,23,0.23170731707317072,0.8148148148148149,0.8599146604537964,0.7879517078399658
5,GSM8K,2025-10-21 02:18:10,2025-10-21 02:22:05,235.4415,0.0,0.0,0.0,,,54,58,0.45344129554655865,0.20408163265306123,0.2591093117408907,1.7109838688849593e-78,0.0,0.44642857142857145,0.46296296296296297,0.43103448275862066,25,0.30456852791878175,0.9069767441860465,0.870747447013855,0.6731210947036743
6,GSM8K,2025-10-21 02:22:05,2025-10-21 02:24:09,123.4594,0.0,0.0,0.0,,,38,30,0.5111111111111111,0.20454545454545456,0.3555555555555555,1.8518500808208102e-78,0.0,0.47058823529411764,0.42105263157894735,0.5333333333333333,16,0.30364372469635625,0.8533333333333334,0.8639476299285889,0.7244538068771362
7,GSM8K,2025-10-21 02:24:09,2025-10-21 02:28:04,235.7854,0.0,0.0,0.0,,,74,34,0.4081632653061224,0.13793103448275865,0.23129251700680273,1.4977841337135594e-78,0.0,0.3888888888888889,0.28378378378378377,0.6176470588235294,21,0.22878228782287824,0.8648648648648649,0.864704430103302,0.734142005443573
8,GSM8K,2025-10-21 02:28:04,2025-10-21 02:30:27,142.8886,0.0,0.0,0.0,,,41,40,0.5742574257425743,0.32323232323232326,0.43564356435643564,0.1465316379152362,0.0,0.5679012345679012,0.5609756097560976,0.575,23,0.31189710610932475,0.9189189189189189,0.9023562669754028,0.7570402026176453
9,GSM8K,2025-10-21 02:30:27,2025-10-21 02:34:25,237.5774,0.0,0.0,0.0,,,45,45,0.5172413793103449,0.26744186046511625,0.33333333333333337,0.13223971533016626,0.0,0.5111111111111111,0.5111111111111111,0.5111111111111111,23,0.2895238095238095,0.8500000000000001,0.8133928775787354,0.8497157692909241
10,GSM8K,2025-10-21 02:34:25,2025-10-21 07:41:46,18441.4101,0.0,0.0,0.0,,,81,62,0.49777777777777776,0.16143497757847536,0.21333333333333337,0.08433156902755579,0.0,0.5314685314685315,0.4691358024691358,0.6129032258064516,38,0.23993808049535603,0.8641975308641976,0.8582174777984619,0.743743360042572
11,GSM8K,2025-10-21 07:41:46,2025-10-21 07:46:28,281.493,0.0,0.0,0.0,,,55,55,0.44,0.17171717171717174,0.37,0.0729509271717596,0.0,0.509090909090909,0.509090909090909,0.509090909090909,28,0.32718120805369133,0.875,0.8969190120697021,0.7911441922187805
12,GSM8K,2025-10-21 07:46:28,2025-10-21 07:51:10,282.0078,0.0,0.0,0.0,,,54,40,0.4921465968586387,0.20105820105820107,0.28272251308900526,2.8926746315381276e-78,0.0,0.46808510638297873,0.4074074074074074,0.55,22,0.24197002141327628,0.8767123287671234,0.8655918836593628,0.7484236359596252
13,GSM8K,2025-10-21 07:51:10,2025-10-21 07:55:57,286.8056,0.0,0.0,0.0,,,68,51,0.3880597014925373,0.11055276381909548,0.2587064676616916,5.458762635545496e-155,0.0,0.4033613445378152,0.35294117647058826,0.47058823529411764,24,0.26807760141093473,0.8421052631578947,0.8699687719345093,0.763260543346405
14,GSM8K,2025-10-21 07:55:57,2025-10-21 08:00:43,286.2822,0.0,0.0,0.0,,,55,61,0.4870466321243524,0.17801047120418848,0.3108808290155441,0.11311647556982919,0.0,0.5689655172413793,0.6,0.5409836065573771,33,0.2788104089219331,0.8674698795180724,0.8794710636138916,0.7782748341560364
15,GSM8K,2025-10-21 08:00:43,2025-10-21 08:05:30,286.7815,0.0,0.0,0.0,,,48,43,0.5034013605442177,0.2482758620689655,0.29931972789115646,1.4834987286158283e-78,0.0,0.37362637362637363,0.3541666666666667,0.3953488372093023,17,0.25899280575539574,0.8500000000000001,0.8582797646522522,0.7701059579849243
16,GSM8K,2025-10-21 08:05:30,2025-10-21 08:10:16,286.8183,0.0,0.0,0.0,,,74,50,0.3981042654028436,0.0861244019138756,0.2085308056872038,1.248332792853927e-78,0.0,0.4193548387096775,0.35135135135135137,0.52,26,0.22287968441814598,0.7951807228915663,0.8474872708320618,0.6082881689071655
17,GSM8K,2025-10-21 08:10:16,2025-10-21 08:19:55,578.1961,0.0,0.0,0.0,,,62,37,0.4202898550724638,0.11764705882352944,0.3188405797101449,4.51041733857038e-155,0.0,0.4444444444444445,0.3548387096774194,0.5945945945945946,22,0.25167037861915365,0.8974358974358975,0.866560697555542,0.8833305239677429
18,GSM8K,2025-10-21 08:19:55,2025-10-21 08:24:04,249.2729,0.0,0.0,0.0,,,43,52,0.5492227979274612,0.28272251308900526,0.47668393782383417,0.05909611363725437,0.0,0.631578947368421,0.6976744186046512,0.5769230769230769,30,0.3609671848013817,0.8947368421052632,0.8827992081642151,0.7507871985435486
19,GSM8K,2025-10-21 08:24:04,2025-10-21 08:28:41,277.2537,0.0,0.0,0.0,,,56,49,0.47572815533980584,0.17647058823529413,0.2815533980582524,0.08669398071014364,0.0,0.4761904761904762,0.44642857142857145,0.5102040816326531,25,0.27097902097902093,0.9090909090909091,0.8530328869819641,0.6609645485877991
20,GSM8K,2025-10-21 08:28:41,2025-10-21 08:33:47,305.5553,0.0,0.0,0.0,,,57,45,0.5591397849462365,0.3043478260869566,0.37634408602150543,0.2099229427277815,0.0,0.6078431372549019,0.543859649122807,0.6888888888888889,31,0.25256673511293637,0.875,0.8818512558937073,0.7383162379264832
21,GSM8K,2025-10-21 08:33:47,2025-10-21 08:37:38,231.3586,0.0,0.0,0.0,,,63,58,0.5513513513513513,0.24043715846994534,0.38918918918918916,0.08232148270929386,0.0,0.6446280991735537,0.6190476190476191,0.6724137931034483,39,0.3494949494949495,0.883116883116883,0.8851560354232788,0.7870782613754272
22,GSM8K,2025-10-21 08:37:38,2025-10-21 08:44:13,394.5549,0.0,0.0,0.0,,,47,41,0.42953020134228187,0.19047619047619047,0.3087248322147651,1.6716981642836371e-78,0.0,0.5,0.46808510638297873,0.5365853658536586,22,0.3173076923076923,0.8354430379746836,0.8657421469688416,0.7211664319038391
23,GSM8K,2025-10-21 08:44:13,2025-10-21 08:49:14,301.3747,0.0,0.0,0.0,,,53,44,0.6303030303030304,0.3067484662576687,0.4484848484848485,0.05588797000965402,0.0,0.5154639175257733,0.4716981132075472,0.5681818181818182,25,0.327313769751693,0.8433734939759037,0.8664357662200928,0.6627684831619263
24,GSM8K,2025-10-21 08:49:14,2025-10-21 08:54:08,294.4379,0.0,0.0,0.0,,,83,66,0.48360655737704916,0.1322314049586777,0.2704918032786885,2.2737158079033065e-78,0.0,0.44295302013422816,0.39759036144578314,0.5,33,0.28617886178861784,0.8,0.8634468913078308,0.7596330642700195
25,GSM8K,2025-10-21 08:54:08,2025-10-21 08:56:24,135.4544,0.0,0.0,0.0,,,29,35,0.6486486486486487,0.3055555555555556,0.45945945945945943,0.17587638925527238,0.0,0.65625,0.7241379310344828,0.6,21,0.3155555555555556,0.8405797101449276,0.8944616913795471,0.7998483777046204
26,GSM8K,2025-10-21 08:56:24,2025-10-21 09:00:38,253.6481,0.0,0.0,0.0,,,78,41,0.4942528735632183,0.18604651162790697,0.2413793103448276,0.08505595307649538,0.0,0.3865546218487395,0.2948717948717949,0.5609756097560976,23,0.2962328767123288,0.8311688311688312,0.8677278161048889,0.697962760925293
27,GSM8K,2025-10-21 09:00:38,2025-10-21 09:05:21,283.4402,0.0,0.0,0.0,,,50,29,0.3259259259259259,0.09022556390977443,0.23703703703703702,0.03925639750774162,0.0,0.35443037974683544,0.28,0.4827586206896552,14,0.2857142857142857,0.7837837837837838,0.8484798669815063,0.6948224902153015
