record_id,dataset,question,gold_answer,mechanism,final_answer,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_precision,token_recall,token_f1,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity,target_Readability,target_Coherence,target_Relevance,target_Specificity,target_Engagement,target_Concise,target_Length,target_Zipf,target_Hapax,target_Entropy,target_Perplexity
1,QASports,Luke Voit was out at first,1,SCoT,,163.561,34.78471760797343,15459.043617628737,95.2980066445184,11.581395348837209,2590.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1,QASports,Luke Voit was out at first,1,MGCoT,,160.5154,37.11960132890368,15066.87472747093,92.88338870431876,12.325581395348838,2616.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99.42341613769531,0.0585336834192276,0.33332741260528564,0.0746452659368515,0.00013717375986743718,0.9072113037109375,0.0067079016007483006,0.07868214696645737,0.016970962285995483,0.4829157888889313,1.4938288927078247
2,QASports,Wayne Rooney shot from outside the eighteen,1,SCoT,,153.0521,33.35681063122924,15104.733985672758,93.11893687707672,11.415282392026578,2618.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,QASports,Wayne Rooney shot from outside the eighteen,1,MGCoT,,155.2524,35.66312292358805,14154.159325685216,87.25481727574729,11.727574750830565,2618.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,98.94803619384766,0.0,0.0,0.0,0.00031439049053005874,0.9619934558868408,0.001408635638654232,0.0,0.0002142190933227539,0.0,1.0
3,QASports,Samir Nasri did a double stepover in the World Cup,1,SCoT,,153.0543,38.15647840531559,14646.708653446844,90.28704318936882,11.514950166112957,2618.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,QASports,Samir Nasri did a double stepover in the World Cup,1,MGCoT,,155.2254,41.17308970099669,14970.11454007475,92.28139534883717,12.29235880398671,2618.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,98.73934936523438,0.0,0.05134187638759613,0.0,0.000521321315318346,0.9459410905838013,0.002857482060790062,0.0,0.0,0.053013287484645844,1.0
4,QASports,Jorge Soler entered the attacking zone,0,SCoT,,153.0025,36.69136212624586,15253.97344788206,94.034219269103,11.681063122923588,2618.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
4,QASports,Jorge Soler entered the attacking zone,0,MGCoT,,155.226,35.7578073089701,14903.190406976744,91.87142857142867,11.893687707641195,2618.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99.29181671142578,0.0,0.0,0.0,0.0007531865267083049,0.9709790945053101,0.0016515807947143912,0.0,0.0,0.0,1.0
5,QASports,Juan Soto shot from beyond the arc,0,SCoT,,153.2023,38.78338870431896,15174.089934593023,93.53920265780718,11.800664451827242,2618.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,QASports,Juan Soto shot from beyond the arc,0,MGCoT,,155.2995,32.382059800664436,14445.772658845515,89.0485049833887,11.681063122923588,2618.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,98.94803619384766,0.0,0.0,0.0,0.00031439049053005874,0.9619934558868408,0.001408635638654232,0.0,0.0002142190933227539,0.0,1.0
